5,1,00,16.1
5,1,1,14.7
5,1,2,14.6
5,1,3,14.2
5,1,4,13.5
5,1,5,13.0
5,1,6,13.0
5,1,7,14.9
5,1,8,16.7
5,1,9,20.2
5,1,10,23.8
5,1,11,25.7
5,1,12,26.6
5,1,13,26.6
5,1,14,27.7
5,1,15,25.7
5,1,16,25.1
5,1,17,24.9
5,1,18,22.6
5,1,19,20.6
5,1,20,19.6
5,1,21,19.4
5,1,22,19.2
5,1,23,18.5
5,2,00,18.4
5,2,1,18.6
5,2,2,18.4
5,2,3,18.5
5,2,4,18.2
5,2,5,18.4
5,2,6,18.4
5,2,7,19.1
5,2,8,19.1
5,2,9,19.4
5,2,10,19.7
5,2,11,19.9
5,2,12,21.3
5,2,13,20.7
5,2,14,21.0
5,2,15,21.0
5,2,16,21.2
5,2,17,21.0
5,2,18,20.9
5,2,19,21.3
5,2,20,20.8
5,2,21,20.7
5,2,22,20.5
5,2,23,19.4
5,3,00,17.5
5,3,1,16.4
5,3,2,15.3
5,3,3,14.7
5,3,4,14.4
5,3,5,13.9
5,3,6,13.9
5,3,7,14.4
5,3,8,15.2
5,3,9,16.3
5,3,10,18.0
5,3,11,18.2
5,3,12,18.9
5,3,13,19.4
5,3,14,19.4
5,3,15,19.3
5,3,16,19.1
5,3,17,18.5
5,3,18,17.1
5,3,19,15.5
5,3,20,15.3
5,3,21,14.9
5,3,22,14.6
5,3,23,14.7
5,4,00,14.8
5,4,1,13.8
5,4,2,13.2
5,4,3,13.1
5,4,4,13.3
5,4,5,12.8
5,4,6,13.3
5,4,7,14.1
5,4,8,15.4
5,4,9,17.0
5,4,10,18.2
5,4,11,18.6
5,4,12,19.1
5,4,13,18.9
5,4,14,19.5
5,4,15,19.5
5,4,16,18.9
5,4,17,18.9
5,4,18,18.0
5,4,19,16.6
5,4,20,16.3
5,4,21,16.1
5,4,22,15.6
5,4,23,13.7
5,5,00,13.8
5,5,1,14.1
5,5,2,13.9
5,5,3,13.0
5,5,4,13.4
5,5,5,13.2
5,5,6,13.5
5,5,7,14.4
5,5,8,15.8
5,5,9,18.0
5,5,10,20.1
5,5,11,21.7
5,5,12,22.6
5,5,13,23.5
5,5,14,23.7
5,5,15,23.2
5,5,16,22.9
5,5,17,23.3
5,5,18,22.3
5,5,19,21.1
5,5,20,20.0
5,5,21,19.2
5,5,22,18.7
5,5,23,18.0
5,6,00,17.6
5,6,1,17.5
5,6,2,17.2
5,6,3,17.1
5,6,4,16.3
5,6,5,15.9
5,6,6,16.1
5,6,7,16.0
5,6,8,17.4
5,6,9,17.5
5,6,10,17.8
5,6,11,17.7
5,6,12,16.9
5,6,13,16.8
5,6,14,16.7
5,6,15,17.3
5,6,16,17.2
5,6,17,17.3
5,6,18,17.4
5,6,19,17.5
5,6,20,17.8
5,6,21,18.2
5,6,22,19.0
5,6,23,18.8
5,7,00,18.7
5,7,1,18.6
5,7,2,18.6
5,7,3,18.7
5,7,4,18.8
5,7,5,18.9
5,7,6,18.8
5,7,7,18.7
5,7,8,18.7
5,7,9,19.9
5,7,10,20.3
5,7,11,17.6
5,7,12,18.2
5,7,13,17.6
5,7,14,17.7
5,7,15,17.5
5,7,16,17.1
5,7,17,16.5
5,7,18,16.5
5,7,19,16.4
5,7,20,16.4
5,7,21,16.5
5,7,22,16.3
5,7,23,15.9
5,8,00,15.8
5,8,1,15.8
5,8,2,15.9
5,8,3,15.8
5,8,4,15.8
5,8,5,15.7
5,8,6,15.9
5,8,7,16.0
5,8,8,16.8
5,8,9,16.9
5,8,10,16.7
5,8,11,16.9
5,8,12,16.8
5,8,13,15.6
5,8,14,15.2
5,8,15,15.1
5,8,16,14.5
5,8,17,14.2
5,8,18,14.0
5,8,19,13.9
5,8,20,13.9
5,8,21,13.8
5,8,22,13.8
5,8,23,13.7
5,9,00,14.2
5,9,1,14.3
5,9,2,13.9
5,9,3,13.8
5,9,4,13.6
5,9,5,13.6
5,9,6,13.4
5,9,7,13.8
5,9,8,14.5
5,9,9,15.2
5,9,10,15.4
5,9,11,16.3
5,9,12,17.5
5,9,13,16.7
5,9,14,17.0
5,9,15,17.1
5,9,16,16.4
5,9,17,15.5
5,9,18,14.5
5,9,19,13.7
5,9,20,13.2
5,9,21,12.8
5,9,22,12.1
5,9,23,10.8
5,10,00,10.0
5,10,1,9.3
5,10,2,9.2
5,10,3,8.1
5,10,4,7.9
5,10,5,7.5
5,10,6,7.3
5,10,7,8.9
5,10,8,11.2
5,10,9,14.3
5,10,10,16.1
5,10,11,18.0
5,10,12,18.9
5,10,13,20.1
5,10,14,20.8
5,10,15,21.0
5,10,16,20.3
5,10,17,19.3
5,10,18,18.1
5,10,19,16.1
5,10,20,14.6
5,10,21,13.5
5,10,22,12.4
5,10,23,11.6
5,11,00,10.4
5,11,1,10.3
5,11,2,9.6
5,11,3,9.0
5,11,4,8.4
5,11,5,8.2
5,11,6,8.3
5,11,7,10.0
5,11,8,13.8
5,11,9,18.1
5,11,10,21.8
5,11,11,23.4
5,11,12,24.2
5,11,13,25.0
5,11,14,25.6
5,11,15,24.4
5,11,16,23.9
5,11,17,22.4
5,11,18,21.6
5,11,19,20.3
5,11,20,19.8
5,11,21,18.4
5,11,22,17.0
5,11,23,15.7
5,12,00,15.0
5,12,1,14.2
5,12,2,13.6
5,12,3,13.2
5,12,4,12.6
5,12,5,12.4
5,12,6,12.6
5,12,7,14.8
5,12,8,18.3
5,12,9,21.4
5,12,10,23.2
